"PNAME","TITLE_RAW","TOT.HOURS","TOT.COMP","title.standard","TitleTxt6","TitleTxt5","TitleTxt4","TitleTxt3","TitleTxt2","OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_07_COMP_DTK_TITLE","F9_07_COMP_DTK_AVE_HOUR_WEEK","F9_07_COMP_DTK_AVE_HOUR_WEEK_RL","F9_07_COMP_DTK_POS_INDIV_TRUST_X","F9_07_COMP_DTK_POS_OFF_X","F9_07_COMP_DTK_COMP_ORG","F9_07_COMP_DTK_COMP_RLTD","F9_07_COMP_DTK_COMP_OTH","F9_07_COMP_DTK_POS_KEY_EMPL_X","F9_07_COMP_DTK_POS_INST_TRUST_X","F9_07_COMP_DTK_POS_HIGH_COMP_X","F9_07_COMP_DTK_EMPL_BEN","F9_07_COMP_DTK_POS_FORMER_X","date.x","Num.Titles","SCHED.O","SCHED.AT.LARGE","AS.NEEDED","EX.OFFICIO","CO","REGIONAL","FUTURE","FORMER","INTERIM","domain.category","domainl.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","com"
"SUE MITTON","DIRECTOR","0","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","202032769349200428","043613129","DALTON RIDGE RUNNERS","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032769349200428_public.xml","DIRECTOR","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"ELIEZER GEWIRTZMAN","PRESIDENT","0","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201921829349301322","133728771","YEDEI CHESED INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921829349301322_public.xml","PRESIDENT","0","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"ELIEZER GEWIRTZMAN","PRESIDENT","0","0","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201921829349301322","133728771","YEDEI CHESED INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921829349301322_public.xml","PRESIDENT","0","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"PAUL RENTENBACH","TREASURER/CH","0","0","BOARD PRESIDENT","CHAIR","CHAIR","CH","TREASURER&CH","TREASURER/CH","202002899349301645","381358015","MATRIX HUMAN SERVICES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002899349301645_public.xml","TREASURER/CH","0","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"PAUL RENTENBACH","TREASURER/CH","0","0","TREASURER","TREASURER","TREASURER","TREASURER","TREASURER&CH","TREASURER/CH","202002899349301645","381358015","MATRIX HUMAN SERVICES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002899349301645_public.xml","TREASURER/CH","0","0","1","1","0","0","0","0","0","0",NA,"0","0","2","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","X",""
"MARVIN LEE GREIS","DIRECTOR","0","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201933199349207763","440477710","WALNUT GROVE CEMETERY ASSOCIATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933199349207763_public.xml","DIRECTOR","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"TONYCE BENN","Secretary","0","0","BOARD SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","SECRETARY","201903049349300240","462754170","CHCS FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903049349300240_public.xml","SECRETARY","0","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","X","",""
"MISTY SCHLAKE","DIRECTOR","0","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201903199349315470","470652141","GOTHENBURG MEMORIAL HOSPITAL FOUNDA","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349315470_public.xml","DIRECTOR","0","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"DUANE POWELL","Director","0","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201911349349304996","640624183","MAGEES CREEK WATER ASSOCIATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304996_public.xml","DIRECTOR","0","0","1","0","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"DAVID PIKE","DIRECTOR","0","0","BOARD MEMBER","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","DIRECTOR","201911409349200206","710212973","WEST MEMPHIS CHAMBER OF COMMERCE","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911409349200206_public.xml","DIRECTOR","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","","","","",""
"GARY PURDY","VICE PRESIDE","0","0","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDENT","VICE PRESIDE","VICE PRESIDE","VICE PRESIDE","201943169349305574","810488591","EAGLE BEND YACHT HARBOR BOATSLIP","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943169349305574_public.xml","VICE PRESIDE","0","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"Jamila Hokanson","President","0","0","BOARD PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201900569349200610","811287003","Society for Student-Run Free Clinics","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201900569349200610_public.xml","PRESIDENT","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
"Jamila Hokanson","President","0","0","CEO","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","PRESIDENT","201900569349200610","811287003","Society for Student-Run Free Clinics","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201900569349200610_public.xml","PRESIDENT","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","1","0","0","0","0","0","0","0","0","0","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"JOE JOHNSTON","CHAIRMAN","0","0","BOARD PRESIDENT","CHAIR","CHAIR","CHAIRMAN","CHAIRMAN","CHAIRMAN","201933199349318463","860599958","ARIZONA RESTAURANT AND HOSPITALITY","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933199349318463_public.xml","CHAIRMAN","0","0","1","1","0","0","0","0","0","0",NA,"0","0","1","0","0","0","0","0","0","0","0","0","board","board","","","","","","","","","","","","X","X","","","",""
